,id,cast,director
217,82693,"['Bradley Cooper', 'Jennifer Lawrence', 'Robert De Niro']",['David O. Russell']
218,809,"['Mike Myers', 'Eddie Murphy', 'Cameron Diaz']","['Kelly Asbury', 'Conrad Vernon', 'Andrew Adamson']"
219,14161,"['John Cusack', 'Amanda Peet', 'Chiwetel Ejiofor']",['Roland Emmerich']
220,240,"['Al Pacino', 'Robert Duvall', 'Diane Keaton']",['Francis Ford Coppola']
221,14,"['Kevin Spacey', 'Annette Bening', 'Thora Birch']",['Sam Mendes']
222,70981,"['Noomi Rapace', 'Michael Fassbender', 'Guy Pearce']",['Ridley Scott']
223,37799,"['Jesse Eisenberg', 'Andrew Garfield', 'Armie Hammer']",['David Fincher']
224,166426,"['Johnny Depp', 'Javier Bardem', 'Geoffrey Rush']","['Joachim Rønning', 'Espen Sandberg']"
225,546554,"['Daniel Craig', 'Chris Evans', 'Ana de Armas']",['Rian Johnson']
226,489,"['Matt Damon', 'Robin Williams', 'Ben Affleck']",['Gus Van Sant']
227,216015,"['Dakota Johnson', 'Jamie Dornan', 'Jennifer Ehle']",['Sam Taylor-Johnson']
228,350,"['Anne Hathaway', 'Meryl Streep', 'Emily Blunt']",['David Frankel']
229,103,"['Robert De Niro', 'Jodie Foster', 'Cybill Shepherd']",['Martin Scorsese']
230,332562,"['Lady Gaga', 'Bradley Cooper', 'Sam Elliott']",['Bradley Cooper']
231,228150,"['Brad Pitt', 'Shia LaBeouf', 'Logan Lerman']",['David Ayer']
232,1724,"['Edward Norton', 'Liv Tyler', 'Tim Roth']",['Louis Leterrier']
233,23483,"['Aaron Taylor-Johnson', 'Chloë Grace Moretz', 'Nicolas Cage']",['Matthew Vaughn']
234,2048,"['Will Smith', 'Bridget Moynahan', 'Alan Tudyk']",['Alex Proyas']
235,6977,"['Josh Brolin', 'Javier Bardem', 'Tommy Lee Jones']","['Ethan Coen', 'Joel Coen']"
236,61791,"['Andy Serkis', 'James Franco', 'Freida Pinto']",['Rupert Wyatt']
237,161,"['George Clooney', 'Matt Damon', 'Andy García']",['Steven Soderbergh']
238,745,"['Bruce Willis', 'Haley Joel Osment', 'Toni Collette']",['M. Night Shyamalan']
239,194,"['Audrey Tautou', 'Mathieu Kassovitz', 'Rufus']",['Jean-Pierre Jeunet']
240,111,"['Al Pacino', 'Steven Bauer', 'Michelle Pfeiffer']",['Brian De Palma']
241,146233,"['Hugh Jackman', 'Jake Gyllenhaal', 'Terrence Howard']",['Denis Villeneuve']
242,73,"['Edward Norton', 'Edward Furlong', ""Beverly D'Angelo""]",['Tony Kaye']
243,138843,"['Patrick Wilson', 'Vera Farmiga', 'Lili Taylor']",['James Wan']
244,222935,"['Shailene Woodley', 'Ansel Elgort', 'Nat Wolff']",['Josh Boone']
245,11036,"['Ryan Gosling', 'Rachel McAdams', 'Gena Rowlands']",['Nick Cassavetes']
246,76203,"['Chiwetel Ejiofor', 'Michael Fassbender', ""Lupita Nyong'o""]",['Steve McQueen']
247,62,"['Keir Dullea', 'Gary Lockwood', 'William Sylvester']",['Stanley Kubrick']
248,49530,"['Justin Timberlake', 'Amanda Seyfried', 'Cillian Murphy']",['Andrew Niccol']
249,812,"['Scott Weinger', 'Robin Williams', 'Linda Larkin']","['John Musker', 'Ron Clements']"
250,490132,"['Viggo Mortensen', 'Mahershala Ali', 'Linda Cardellini']",['Peter Farrelly']
251,38757,"['Mandy Moore', 'Zachary Levi', 'Donna Murphy']","['Nathan Greno', 'Byron Howard']"
252,8358,"['Tom Hanks', 'Helen Hunt', 'Chris Noth']",['Robert Zemeckis']
253,36657,"['Patrick Stewart', 'Ian McKellen', 'Hugh Jackman']",['Bryan Singer']
254,93456,"['Steve Carell', 'Kristen Wiig', 'Benjamin Bratt']","['Chris Renaud', 'Pierre Coffin']"
255,9502,"['Jack Black', 'Angelina Jolie', 'Dustin Hoffman']","['John Stevenson', 'Mark Osborne']"
256,1858,"['Shia LaBeouf', 'Megan Fox', 'Mark Ryan']",['Michael Bay']
257,601,"['Henry Thomas', 'Drew Barrymore', 'Robert MacNaughton']",['Steven Spielberg']
258,8681,"['Liam Neeson', 'Maggie Grace', 'Leland Orser']",['Pierre Morel']
259,351286,"['Chris Pratt', 'Bryce Dallas Howard', 'Rafe Spall']",['J. A. Bayona']
260,115,"['Jeff Bridges', 'John Goodman', 'Steve Buscemi']","['Joel Coen', 'Ethan Coen']"
261,119450,"['Andy Serkis', 'Jason Clarke', 'Toby Kebbell']",['Matt Reeves']
262,207,"['Robin Williams', 'Ethan Hawke', 'Robert Sean Leonard']",['Peter Weir']
263,372058,"['Ryunosuke Kamiki', 'Mone Kamishiraishi', 'Ryo Narita']",['Makoto Shinkai']
264,338952,"['Eddie Redmayne', 'Katherine Waterston', 'Dan Fogler']",['David Yates']
265,562,"['Bruce Willis', 'Alan Rickman', 'Alexander Godunov']",['John McTiernan']
266,291805,"['Jesse Eisenberg', 'Mark Ruffalo', 'Woody Harrelson']",['Jon M. Chu']
267,771,"['Macaulay Culkin', 'Joe Pesci', 'Daniel Stern']",['Chris Columbus']
268,604,"['Keanu Reeves', 'Laurence Fishburne', 'Carrie-Anne Moss']","['Lana Wachowski', 'Lilly Wachowski']"
269,953,"['Ben Stiller', 'Chris Rock', 'David Schwimmer']","['Eric Darnell', 'Tom McGrath']"
270,266856,"['Eddie Redmayne', 'Felicity Jones', 'Charlie Cox']",['James Marsh']
271,242582,"['Jake Gyllenhaal', 'Riz Ahmed', 'Rene Russo']",['Dan Gilroy']
272,82992,"['Vin Diesel', 'Paul Walker', 'Dwayne Johnson']",['Justin Lin']
273,75612,"['Tom Cruise', 'Morgan Freeman', 'Olga Kurylenko']",['Joseph Kosinski']
274,310,"['Jim Carrey', 'Morgan Freeman', 'Jennifer Aniston']",['Tom Shadyac']
275,13223,"['Clint Eastwood', 'Christopher Carley', 'Bee Vang']",['Clint Eastwood']
276,168259,"['Vin Diesel', 'Paul Walker', 'Jason Statham']",['James Wan']
277,211672,"['Sandra Bullock', 'Jon Hamm', 'Michael Keaton']","['Kyle Balda', 'Pierre Coffin']"
278,36557,"['Daniel Craig', 'Eva Green', 'Mads Mikkelsen']",['Martin Campbell']
279,18,"['Bruce Willis', 'Milla Jovovich', 'Gary Oldman']",['Luc Besson']
280,12405,"['Dev Patel', 'Freida Pinto', 'Madhur Mittal']",['Danny Boyle']
281,62211,"['Billy Crystal', 'John Goodman', 'Steve Buscemi']",['Dan Scanlon']
